Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.7096,Fri Mar 02 20:30:01 +0000 2018,0.0,0.718,0.282,"Join @maria_bello, @aishatyler and @TeaLeoni in celebrating the accomplishments of women who have contributed to th… https://t.co/MefESBeFL3",32,@CBS
0.4939,Fri Mar 02 18:45:00 +0000 2018,0.0,0.849,0.151,"In honor of Women's History Month, CBS and the Association of National Advertisers' (ANA) #SeeHer initiative will p… https://t.co/2wtYxKJVuO",33,@CBS
-0.6981,Thu Mar 01 18:59:01 +0000 2018,0.21,0.79,0.0,RT @ZoeListerJones: Tonight’s an all new Life In Pieces and it’s directed by my ride or die @nataliaanderson!!!… https://t.co/2LPfmyLWrY,34,@CBS
0.4547,Thu Mar 01 18:12:57 +0000 2018,0.092,0.749,0.159,"RT @MarenMorris: Hot damn! Woke up from my post-wisdom teeth haze to find out I’m up for 4 @ACMawards ! So honored, especially for the Dear…",35,@CBS
0.8591,Thu Mar 01 18:11:50 +0000 2018,0.0,0.462,0.538,RT @KelseaBallerini: Ohhhhh goodness. Incredible. Thank you thank you thank you. #female https://t.co/1ZTYjNfQeF,36,@CBS
0.4885,Thu Mar 01 18:10:50 +0000 2018,0.151,0.615,0.234,RT @KeithUrban: ACMs...... HOLY SMOKES!!!!! MAD LOVE TO U ALL THIS MORNING  FOR THESE INCREDIBLE NOMINATIONS. I’M EXTREMELY GRATEFUL!!!!!!!…,37,@CBS
0.5994,Thu Mar 01 14:36:21 +0000 2018,0.0,0.822,0.178,"RT @ACMawards: Congratulations to this year’s #ACMawards Video of the Year nominees:
“Black” - @DierksBentley
“It Ain’t My Fault” - @Brothe…",38,@CBS
0.7717,Thu Mar 01 14:29:20 +0000 2018,0.0,0.675,0.325,"RT @ACMawards: Please give a round of applause to this year’s #ACMawards Entertainer of the Year nominees: @Jason_Aldean, @GarthBrooks, @Lu…",39,@CBS
0.6908,Thu Mar 01 14:15:29 +0000 2018,0.0,0.725,0.275,".@ChrisStapleton, @ThomasRhett, @mirandalambert and more are all nominated for awards at Country Music's Party of t… https://t.co/Vm1vXRUDYJ",40,@CBS
0.0,Thu Mar 01 13:50:11 +0000 2018,0.0,1.0,0.0,"The Queen of Country, @Reba, is returning to host the 53rd #ACMawards on Sunday, April 15 at 8/7c. Here are a few o… https://t.co/Iqzz6Gql01",41,@CBS
0.0,Thu Mar 01 01:04:52 +0000 2018,0.0,1.0,0.0,RT @survivorcbs: It’s time! #Survivor https://t.co/YPk6cGWrUA,42,@CBS
0.0,Wed Feb 28 19:56:58 +0000 2018,0.0,1.0,0.0,"RT @CBSThisMorning: TOMORROW: The nominees for the 2018 @ACMawards will be announced live by the one-and-only, @Reba! 

Watch on @CBS in ou…",43,@CBS
0.4404,Wed Feb 28 19:08:30 +0000 2018,0.0,0.884,0.116,"RT @thegoodfight: From the set design and costumes to hair and makeup, the production quality is truly next-level. Take a peek inside the u…",44,@CBS
0.5562,Tue Feb 27 03:23:47 +0000 2018,0.0,0.848,0.152,RT @LivinBiblically: The fun continues on Facebook! The #LivingBiblically cast is live to talk about tonight’s premiere. Tune in here: http…,45,@CBS
0.0,Mon Feb 26 22:50:32 +0000 2018,0.0,1.0,0.0,"RT @KevinCanWaitCBS: Can you get all the way through these #KevinCanWait bloopers without laughing?! @KevinJames,@LeahRemini and the rest o…",46,@CBS
0.0,Mon Feb 26 21:08:30 +0000 2018,0.0,1.0,0.0,"RT @ACMawards: That’s right! @Reba is headed to @CBSThisMorning on Thursday, March 1 to announce this year’s #ACMAwards' nominees. Tune in…",47,@CBS
0.4482,Mon Feb 26 19:53:41 +0000 2018,0.0,0.895,0.105,"RT @ScorpionCBS: You can't hack your way to a 197 IQ, but you are well on your way with these Genius Facts from #TeamScorpion! 💻 You can be…",48,@CBS
0.784,Mon Feb 26 18:32:36 +0000 2018,0.0,0.734,0.266,RT @SuperiorDonuts: You can always count on @DavidKoechner for a laugh! Did your favorite Tush moment make the list? Catch a new #SuperiorD…,49,@CBS
0.9359,Mon Feb 26 18:20:16 +0000 2018,0.0,0.571,0.429,RT @TheTalkCBS: TODAY: We loved them together then &amp; we love seeing them together now! Welcome back to the show @THESaraGilbert​'s good fri…,50,@CBS
-0.5423,Mon Feb 26 16:53:56 +0000 2018,0.184,0.816,0.0,"RT @thegoodfight: As foundations begin to crumble, our characters struggle to make sense of this new dystopian world. The cast teases what'…",51,@CBS
0.0,Mon Feb 26 16:52:01 +0000 2018,0.0,1.0,0.0,"#LivingBiblically's @linzkraft and @jrfergjr appeared on @KCBS's Facebook Live this morning, talking all about what… https://t.co/4RebcHuuMQ",52,@CBS
0.0,Mon Feb 26 16:17:55 +0000 2018,0.0,1.0,0.0,"RT @CBSSports: Introducing CBS Sports HQ, a New 24/7 Direct-to-Consumer Streaming Network for Sports News, Highlights, &amp; Analysis.

Stream…",53,@CBS
0.7644,Mon Feb 26 01:12:32 +0000 2018,0.0,0.769,0.231,"RT @CBSBigBrother: It’s down to the final 5 celebrity Houseguests, and anyone could take home the grand prize! Tune in NOW to watch the #BB…",54,@CBS
0.0,Sun Feb 25 21:51:32 +0000 2018,0.0,1.0,0.0,RT @startrekcbs: Binge the entire first season of #StarTrekDiscovery. All episodes now streaming exclusively on CBS All Access: https://t.c…,55,@CBS
0.0,Sun Feb 25 21:51:22 +0000 2018,0.0,1.0,0.0,"RT @thegoodfight: #TheGoodFight returns in 1 week. Season 2 premieres Sunday, March 4. https://t.co/nomCao1GWp https://t.co/BOn6bOe9Tb",56,@CBS
0.5093,Fri Feb 23 18:15:40 +0000 2018,0.0,0.845,0.155,RT @thegoodfight: This is our new favorite thing. Christine Baranski debuted #TheGoodFight the Musical on @colbertlateshow last night! 🎵🎤…,57,@CBS
0.0,Thu Feb 22 19:26:52 +0000 2018,0.0,1.0,0.0,"RT @LivinBiblically: Confession time: have YOU ever hit the ""close door"" button in an elevator while somebody was approaching? The cast of…",58,@CBS
0.0,Wed Feb 21 19:20:04 +0000 2018,0.0,1.0,0.0,RT @CBSEyeSpeak: Mark your calendars! #CBSEyeSpeak kicks off March 14 with The EYE Speak Summit. Follow our page for more details! https://…,59,@CBS
0.6808,Wed Feb 21 18:19:25 +0000 2018,0.0,0.752,0.248,"RT @CBSEyeSpeak: Proud to announce a new CBS initiative, promoting female empowerment and developing the next generation of leaders through…",60,@CBS
0.4404,Tue Feb 20 19:55:19 +0000 2018,0.0,0.884,0.116,"RT @LivinBiblically: When you're living by the Bible, it's good to have a priest and a rabbi on call (provided they answer their phones, th…",61,@CBS
-0.4019,Tue Feb 20 17:58:18 +0000 2018,0.119,0.881,0.0,"RT @thegoodfight: Chicago lawyers are being hunted and the world is going insane. 

The new season of #TheGoodFight premieres Sunday, March…",62,@CBS
0.3612,Tue Feb 20 17:39:51 +0000 2018,0.0,0.872,0.128,Ready for some larger than life competition? This new series from @MarkBurnettTV will premiere in summer 2018.… https://t.co/gDXHLdIJ5v,63,@CBS
0.6124,Sat Feb 17 01:07:20 +0000 2018,0.0,0.773,0.227,"With tournament dreams on the line, make sure to stream these college basketball matchups on CBS All Access:… https://t.co/SGkYUZrQWB",64,@CBS
0.3182,Fri Feb 16 18:42:43 +0000 2018,0.0,0.892,0.108,"RT @LivinBiblically: While Chip's sticking to the Bible's original rules, the cast of #LivingBiblically has given them a more modern makeov…",65,@CBS
0.68,Fri Feb 16 17:48:20 +0000 2018,0.0,0.752,0.248,"Casting News! Peter Mark Kendall, Michael Gaston, Greg Wise, Rade Šerbedžija, Zack Pearlman, and Keye Chen join the… https://t.co/GFob2KrD8H",66,@CBS
0.8619,Wed Feb 14 19:23:27 +0000 2018,0.0,0.534,0.466,RT @BullCBS: The verdict is in...#Bull is the perfect Valentine! ❤️ Happy #ValentinesDay! https://t.co/poEejI4AnC,67,@CBS
0.0,Tue Feb 13 20:03:56 +0000 2018,0.0,1.0,0.0,"RT @NoActivityCBS: Car 27 reporting: Season 2 of #NoActivity coming soon!

Binge season one now on CBS All Access: https://t.co/yvxoQMeyhN…",68,@CBS
0.7506,Tue Feb 13 18:54:52 +0000 2018,0.0,0.748,0.252,"RT @LivinBiblically: Against all odds (and the advice of his God Squad), Chip is determined to live life by the Good Book. Think you could…",69,@CBS
0.0,Mon Feb 12 18:49:45 +0000 2018,0.0,1.0,0.0,RT @thegoodfight: Christine Baranski reflects upon the spectacular metamorphosis of her character in #TheGoodFight's first season. Revisit…,70,@CBS
0.0,Mon Feb 12 01:32:33 +0000 2018,0.0,1.0,0.0,RT @startrekcbs: Binge the entire first season of #StarTrekDiscovery. All 15 episodes now streaming on CBS All Access: https://t.co/lKLaptP…,71,@CBS
0.8478,Fri Feb 09 00:50:01 +0000 2018,0.0,0.696,0.304,RT @SuperiorDonuts: Looking for a #Valentine? Tush is here to help you land your dream date just in time for the day of love! #SuperiorDonu…,72,@CBS
-0.5859,Thu Feb 08 16:09:35 +0000 2018,0.186,0.814,0.0,RT @CBSBigBrother: The pressure is on as the Houseguests battle each other for victory in the first HOH competition. Stream the season prem…,73,@CBS
0.0516,Wed Feb 07 18:35:19 +0000 2018,0.0,0.934,0.066,"RT @startrekcbs: Sunday, this season's epic journey reaches its final reckoning. Catch up before the season finale: https://t.co/4Ea5wpmAep…",74,@CBS
0.5574,Wed Feb 07 16:17:48 +0000 2018,0.152,0.536,0.312,"Are you a sucker for jaw-dropping talent competitions? Announcing The World's Best, a first-of-its-kind new global… https://t.co/fagCMklm2Z",75,@CBS
0.0,Tue Feb 06 22:21:39 +0000 2018,0.0,1.0,0.0,"RT @BullCBS: Tonight, one of these 3 TAC employees will end up incarcerated. Who do you think it will be? Tune into a new episode of #Bull…",76,@CBS
0.0772,Tue Feb 06 17:05:49 +0000 2018,0.106,0.773,0.121,"RT @thegoodfight: There's no season like lawyer season. #TheGoodFight returns March 4, exclusively on CBS All Access. https://t.co/XAlrg1nB…",77,@CBS
0.0,Sun Feb 04 15:35:36 +0000 2018,0.0,1.0,0.0,"RT @thegoodfight: The acclaimed series returns in 1 month. #TheGoodFight is back Sunday, March 4. https://t.co/5BNLTYRd8p https://t.co/yInP…",78,@CBS
0.1531,Sun Feb 04 12:00:01 +0000 2018,0.0,0.882,0.118,".@KeshaRose's emotional performance with @CyndiLauper, @AndraDayMusic, @BebeRexha and @Camila_Cabello brought the a… https://t.co/qpgS2e9ir0",79,@CBS
0.0,Sat Feb 03 23:11:43 +0000 2018,0.0,1.0,0.0,Broadway legend Patti LuPone paid tribute to Sir Andrew Lloyd Webber with a show-stopping rendition of the iconic s… https://t.co/GxqLtUzhFP,80,@CBS
0.8268,Sat Feb 03 12:00:07 +0000 2018,0.0,0.662,0.338,"Relive an entire night's worth of big wins, live performances and many more inspiring moments from The 60th Annual… https://t.co/CH7mJ4Y3QT",81,@CBS
-0.0772,Fri Feb 02 22:36:13 +0000 2018,0.075,0.925,0.0,RT @swatcbs: ✨@TheTalkCBS' @TheRealEve and @ShemarMoore brought some serious heat to the GRAMMYs red carpet: https://t.co/WYTITKkLQd https:…,82,@CBS
0.4019,Fri Feb 02 20:07:40 +0000 2018,0.0,0.856,0.144,"The all-star collaboration between @Rihanna, @DJKhaled and @brysontiller brought the party to the #GRAMMYs with a s… https://t.co/jTv5QbtgUp",83,@CBS
0.4003,Fri Feb 02 19:03:33 +0000 2018,0.0,0.876,0.124,RT @TheTalkCBS: All the #redcarpet looks from the 60th annual #GRAMMYs! Did you catch @TheRealEve's sparkly two-piece suit? Diamond accents…,84,@CBS
0.6114,Fri Feb 02 17:23:18 +0000 2018,0.0,0.834,0.166,Go backstage with the celebs and see which stars celebrated the big night together! Here are the moments you missed… https://t.co/rgQTXRQyLg,85,@CBS
0.0,Thu Feb 01 22:04:41 +0000 2018,0.0,1.0,0.0,🎶 @DearEvanHansen star Ben Platt gave a soaring performance of a classic Broadway hit. Watch him perform 'Somewhere… https://t.co/HcuizFWo02,86,@CBS
0.0,Thu Feb 01 20:09:49 +0000 2018,0.0,1.0,0.0,"🎸 @LittleBigTown, @U2, @BrunoMars and @Pink are just a few of the superstar performers that lit up the stage at The… https://t.co/2v0MNYMItG",87,@CBS
0.1139,Wed Jan 31 21:42:15 +0000 2018,0.0,0.912,0.088,"Don't miss country stars Emmylou Harris and @ChrisStapleton perform a moving rendition of @TomPetty's classic song,… https://t.co/GxoIW97XIu",88,@CBS
0.1007,Wed Jan 31 17:05:47 +0000 2018,0.115,0.75,0.135,RT @survivorcbs: Get excited! 🙌 It’s finally time to meet the castaways of #Survivor: Ghost Island ☠ https://t.co/xQQ8ROhKbM https://t.co/P…,89,@CBS
0.4588,Wed Jan 31 16:37:17 +0000 2018,0.0,0.812,0.188,"Country stars @EricChurch, @BrothersOsborne and @MarenMorris performed a touching tribute dedicated to the victims… https://t.co/YCIq9i70fd",90,@CBS
0.1779,Wed Jan 31 06:55:30 +0000 2018,0.095,0.779,0.126,Missed the Man vs. Beast #SuperBowlCommercials showdown? Catch up now to find out which entertaining ad was named t… https://t.co/SlyO0n7yMX,91,@CBS
-0.2263,Wed Jan 31 02:15:16 +0000 2018,0.252,0.569,0.179,"RT @rikimae: Ok, that one makes me cry #superbowlcommercials",92,@CBS
-0.4767,Wed Jan 31 01:58:40 +0000 2018,0.256,0.744,0.0,"If this doesn’t make you cry, nothing will. #SuperBowlCommercials https://t.co/UjFf3xr4so",93,@CBS
0.4939,Wed Jan 31 01:52:46 +0000 2018,0.119,0.625,0.256,"RT @maverickkr: #superbowlcommercials the frogs were great, I'd forgotten about that one.",94,@CBS
0.5093,Wed Jan 31 01:49:43 +0000 2018,0.0,0.81,0.19,"If you haven't voted yet, it's not too late! Choose your favorite here: https://t.co/s4pEIF5IX8… https://t.co/VCa1YHDyYy",95,@CBS
0.8261,Wed Jan 31 01:31:27 +0000 2018,0.0,0.566,0.434,RT @5691e44f3b66446: I am having so much fun ...the commercials are awesome #superbowlcommercials,96,@CBS
0.8309,Wed Jan 31 01:29:10 +0000 2018,0.0,0.586,0.414,RT @LittleShelbyMae: Love watching the #superbowlcommercials all the animal ones are my favorite!!,97,@CBS
0.6588,Wed Jan 31 01:24:16 +0000 2018,0.0,0.614,0.386,RT @PatHale915: Doritos time machine was great!   #superbowlcommercials,98,@CBS
-0.5106,Wed Jan 31 01:18:37 +0000 2018,0.398,0.602,0.0,Never make a goat angry. #SuperBowlCommercials https://t.co/xRJssdAErk,99,@CBS
-0.8176,Mon Mar 19 03:30:52 +0000 2018,0.366,0.634,0.0,Terrifying video shows people being violently thrown into the air after a ski lift malfunctioned… https://t.co/1S5IoiiERM,0,@CNN
0.0,Mon Mar 19 03:30:46 +0000 2018,0.0,1.0,0.0,"Neanderthals, Denisovans and our ancestors were mixing and mingling a long time ago -- and some of our genetics can… https://t.co/rndNdS65nD",1,@CNN
-0.6956,Mon Mar 19 03:01:39 +0000 2018,0.264,0.736,0.0,"Two men were transported to a hospital with serious but non-life threatening injuries after an explosion in Austin,… https://t.co/NuZhaTm61J",2,@CNN
-0.6486,Mon Mar 19 03:00:12 +0000 2018,0.218,0.782,0.0,Snapchat lost $800 million after Rihanna tore into the company for allowing an offensive ad to appear on its app… https://t.co/KruFeFQZKa,3,@CNN
-0.34,Mon Mar 19 02:58:43 +0000 2018,0.107,0.893,0.0,The president of Mauritius and Africa's only female head of state will resign this week over claims she used a cred… https://t.co/R4k1vjYev7,4,@CNN
0.0,Mon Mar 19 02:47:51 +0000 2018,0.0,1.0,0.0,Austin police and EMS on Sunday evening confirmed a reported explosion on Dawn Song Drive. Two males in their 20s w… https://t.co/Gq40RBNHO6,5,@CNN
-0.765,Mon Mar 19 02:43:43 +0000 2018,0.423,0.577,0.0,SXSW bomb threat forces cancellation of The Roots concert https://t.co/iiG06EdMl7 https://t.co/0pHB5QR0qR,6,@CNN
-0.2023,Mon Mar 19 02:37:03 +0000 2018,0.096,0.904,0.0,"Facebook is looking into ties between one of its current employees and Cambridge Analytica, the controversial data… https://t.co/al9SJD85FR",7,@CNN
0.624,Mon Mar 19 02:30:33 +0000 2018,0.0,0.786,0.214,Is this Japan's most charming winter village? Take a glance at Ginzan Onsen with @CNNTravel https://t.co/bFDsroT3lp https://t.co/MKHQhGmy9s,8,@CNN
0.0,Mon Mar 19 02:30:04 +0000 2018,0.0,1.0,0.0,"EPA Administrator Scott Pruitt is posturing for higher political office, including a possible run for president in… https://t.co/tXb3VmdYvQ",9,@CNN
-0.4767,Mon Mar 19 02:13:05 +0000 2018,0.171,0.829,0.0,Health workers in Pakistan vaccinating children against polio have come under attack in recent years https://t.co/44SHGRekTU,10,@CNN
0.2732,Mon Mar 19 02:12:25 +0000 2018,0.0,0.896,0.104,"Imagine driving your supercar right into your apartment, and leaving it parked there. Well, for uber-rich car colle… https://t.co/aSifcnPkkj",11,@CNN
0.0,Mon Mar 19 02:00:17 +0000 2018,0.0,1.0,0.0,Take a look at the week in politics https://t.co/Q9theohIXy https://t.co/4YU5MsvNn9,12,@CNN
0.0772,Mon Mar 19 01:56:57 +0000 2018,0.0,0.929,0.071,Politicians on both sides of the Atlantic want answers after Facebook's latest controversy involving the 2016 elect… https://t.co/jWu1tLkf4D,13,@CNN
0.0,Mon Mar 19 01:49:51 +0000 2018,0.0,1.0,0.0,"Neanderthals, Denisovans and our ancestors were mixing and mingling a long time ago -- and some of our genetics can… https://t.co/XevkapB6z2",14,@CNN
0.0,Mon Mar 19 01:40:06 +0000 2018,0.0,1.0,0.0,A helicopter carrying Ivanka Trump and Jared Kushner had to return to an airport in Washington on Thursday after on… https://t.co/h2w9ddnBxq,15,@CNN
0.0,Mon Mar 19 01:31:23 +0000 2018,0.0,1.0,0.0,A fourth winter storm in three weeks is expected to hit New England and the mid-Atlantic this week… https://t.co/0m05qh1W3C,16,@CNN
-0.4939,Mon Mar 19 01:30:07 +0000 2018,0.286,0.714,0.0,Deck collapse at Georgia bar injures 14 https://t.co/6hdlsfgTOT https://t.co/jYAj42ACAF,17,@CNN
-0.1027,Mon Mar 19 01:15:05 +0000 2018,0.113,0.887,0.0,Illinois Democratic congressman being challenged on left by political newcomer https://t.co/GwOt2aHtZP https://t.co/dQKCzvoSip,18,@CNN
-0.296,Mon Mar 19 01:00:06 +0000 2018,0.136,0.864,0.0,Pennsylvania man and teen found in Mexico almost 2 weeks after they went missing https://t.co/54FQYYQeKo https://t.co/vDjVFlOcAl,19,@CNN
0.2732,Mon Mar 19 00:45:24 +0000 2018,0.0,0.896,0.104,"Imagine driving your supercar right into your apartment, and leaving it parked there. Well, for uber-rich car colle… https://t.co/hV4iIOEfmY",20,@CNN
-0.2263,Mon Mar 19 00:45:03 +0000 2018,0.091,0.909,0.0,"""We are the forgotten people"": It's been almost six months since Hurricane Maria, and Puerto Ricans are still dying… https://t.co/PJHgI19Xt6",21,@CNN
0.4497,Mon Mar 19 00:30:12 +0000 2018,0.0,0.78,0.22,"President Trump's approval rating improves slightly, but it is still underwater, according to a new poll… https://t.co/ywKQRgaEyo",22,@CNN
-0.6369,Mon Mar 19 00:15:42 +0000 2018,0.234,0.766,0.0,"Cirque du Soleil performer Yann Arnaud has died after falling during a performance in Tampa, Florida. The company s… https://t.co/NmEJu7rTfZ",23,@CNN
0.25,Mon Mar 19 00:04:30 +0000 2018,0.212,0.481,0.308,9/11 hero who saved hundreds dies of cancer at age 45 https://t.co/dlfBZn3RZK https://t.co/CeYg36AdPu,24,@CNN
0.6249,Mon Mar 19 00:00:13 +0000 2018,0.0,0.773,0.227,"President Trump's ""great day for democracy"" smacks of dictatorship, writes Dean Obeidallah for @CNNOpinion… https://t.co/HYJD2So2UB",25,@CNN
0.0,Sun Mar 18 23:45:05 +0000 2018,0.0,1.0,0.0,"Austin bombs were ""meant to send a message,"" authorities believe https://t.co/j8o61TukbV https://t.co/ImurMjiy0n",26,@CNN
0.0,Sun Mar 18 23:30:17 +0000 2018,0.0,1.0,0.0,University of Maryland-Baltimore County — hoops' historic Cinderella — is also scoring points on Twitter… https://t.co/cWGobVvQKo,27,@CNN
-0.2732,Sun Mar 18 23:15:07 +0000 2018,0.21,0.634,0.156,"The footbridge in Florida was built to save lives. Instead, it left 6 dead. https://t.co/pY5inf1jW1 https://t.co/3Qe37eNDBC",28,@CNN
0.4404,Sun Mar 18 23:00:05 +0000 2018,0.0,0.854,0.146,"Every job is safe in the White House — until it's not, writes Alice Stewart for @CNNOpinion https://t.co/xPEhpOLMMw https://t.co/f2CG3BOa2g",29,@CNN
0.0,Sun Mar 18 22:45:04 +0000 2018,0.0,1.0,0.0,The race to fund the government is on (again) https://t.co/TKARvbsay8 https://t.co/ZgPAYSAXjf,30,@CNN
0.0258,Sun Mar 18 22:30:04 +0000 2018,0.282,0.552,0.166,Republicans warn President Trump to leave special counsel Robert Mueller alone https://t.co/H6iLX79hm6 https://t.co/4BcVFuzdgu,31,@CNN
-0.743,Sun Mar 18 22:15:10 +0000 2018,0.326,0.674,0.0,Doors-off helicopters tours were all the rage — until a deadly crash in New York https://t.co/q7zp0osfYn https://t.co/3PaLaqDomn,32,@CNN
-0.8225,Sun Mar 18 22:00:17 +0000 2018,0.487,0.513,0.0,Two polio workers killed in attack in Pakistan https://t.co/rrKIfHeGr2 https://t.co/CItpzvXvLe,33,@CNN
0.0,Sun Mar 18 21:45:09 +0000 2018,0.0,1.0,0.0,UK diplomat cites proof that Russia stockpiled nerve agent https://t.co/4BvhWnJgi6 https://t.co/caNbf6dXMk,34,@CNN
0.0,Sun Mar 18 21:30:03 +0000 2018,0.0,1.0,0.0,Cirque du Soleil performer dies after fall in Florida https://t.co/Fbv4prNrfA https://t.co/H25Souhtzr,35,@CNN
0.0,Sun Mar 18 21:15:16 +0000 2018,0.0,1.0,0.0,Do you know why a conclave uses white smoke to declare a new pope? Go back 700 years to the beginning of this tradi… https://t.co/6qsLUvGBSo,36,@CNN
0.5994,Sun Mar 18 21:00:13 +0000 2018,0.0,0.795,0.205,"""If you have an innocent client, Mr. Dowd, act like it."" Rep. Trey Gowdy bristles at President Trump's attorney, Jo… https://t.co/GfwKYMPhpe",37,@CNN
0.6249,Sun Mar 18 20:45:07 +0000 2018,0.105,0.568,0.328,President Trump sure looks like he is planning to fire special counsel Robert Mueller https://t.co/6rV6Mix7GT | Ana… https://t.co/dSORnCROuW,38,@CNN
-0.34,Sun Mar 18 20:30:07 +0000 2018,0.194,0.806,0.0,Africa's only female president will resign over expense claims https://t.co/KYKLXZMMeq https://t.co/GsWCHesOsc,39,@CNN
0.0,Sun Mar 18 20:22:05 +0000 2018,0.0,1.0,0.0,"JUST IN: Facebook is looking into ties between one of its current employees and Cambridge Analytica, the controvers… https://t.co/iYL5gVWTMz",40,@CNN
0.2263,Sun Mar 18 20:15:09 +0000 2018,0.0,0.826,0.174,Powerball jackpot ticket worth $457M sold in Pennsylvania https://t.co/ePPiUzVzdx https://t.co/HZMWqjWqtZ,41,@CNN
0.0,Sun Mar 18 20:00:16 +0000 2018,0.0,1.0,0.0,President Trump spending spree may speed up the Federal Reserve https://t.co/Q9owTuJVbd https://t.co/PzdtEHWFU9,42,@CNN
0.1872,Sun Mar 18 19:45:00 +0000 2018,0.068,0.837,0.094,"""This is the Trump party right now. I'm just not sure it will be two years from now."" GOP Sen. Jeff Flake says he h… https://t.co/D37Z4CmSLx",43,@CNN
-0.0516,Sun Mar 18 19:30:09 +0000 2018,0.107,0.893,0.0,Turkish troops seize Syrian town center from Kurdish fighters https://t.co/e9GssK0QFA https://t.co/ZFFpmMYyWp,44,@CNN
0.0,Sun Mar 18 19:15:06 +0000 2018,0.0,1.0,0.0,"Representatives of North Korea, South Korea and the US are set to meet in Finland https://t.co/KFO0uJVPf1 https://t.co/nBL5vWuROq",45,@CNN
0.296,Sun Mar 18 19:00:12 +0000 2018,0.0,0.833,0.167,Sweden helping negotiate release of Americans held in North Korea https://t.co/mq4bWXVZgw https://t.co/qHpOxTvdeG,46,@CNN
0.0,Sun Mar 18 18:45:05 +0000 2018,0.0,1.0,0.0,Inside the Democrats' efforts to elect more Conor Lambs https://t.co/YGvihZU8E5 https://t.co/r6opUgLzEy,47,@CNN
0.0,Sun Mar 18 18:30:09 +0000 2018,0.0,1.0,0.0,Massachusetts Attorney General Maura Healey says her office is investigating Facebook and Cambridge Analytica… https://t.co/uSg1vHGpVy,48,@CNN
0.0,Sun Mar 18 18:18:44 +0000 2018,0.0,1.0,0.0,"Exit polls are not final, and official results will be released in the coming hours. Follow latest updates here: https://t.co/kqiO2BXshz",49,@CNN
-0.6486,Sun Mar 18 18:17:50 +0000 2018,0.238,0.762,0.0,"Putin's critics have slammed the election as unfair, citing the Kremlin's tight control over the media, quelling of… https://t.co/IxD1hdGbCr",50,@CNN
0.0,Sun Mar 18 18:15:52 +0000 2018,0.0,1.0,0.0,Putin has dominated Russian politics for 18 years and was already the country's longest-serving leader since Soviet… https://t.co/OMDcDeV0Dk,51,@CNN
-0.5574,Sun Mar 18 18:15:05 +0000 2018,0.265,0.735,0.0,Israeli military destroys Gaza tunnel and underground military complex https://t.co/q7f04inCBs https://t.co/egru0qrOvB,52,@CNN
0.0,Sun Mar 18 18:09:34 +0000 2018,0.0,1.0,0.0,"BREAKING NEWS: Vladimir Putin will rule Russia for another 6 years, exit polls show, after a muted election campaig… https://t.co/2A6i8AImXo",53,@CNN
0.0,Sun Mar 18 18:00:12 +0000 2018,0.0,1.0,0.0,Companies use fingerprints and digital behavior to ID employees https://t.co/7x0yZkk3Kj https://t.co/sGoRoutc6R,54,@CNN
0.5719,Sun Mar 18 17:45:04 +0000 2018,0.0,0.829,0.171,Voters in Russia are casting their ballots in a presidential election widely expected to be won by incumbent Vladim… https://t.co/PbmGiRCqEq,55,@CNN
-0.7506,Sun Mar 18 17:30:20 +0000 2018,0.367,0.524,0.11,"With a pause to pray, rescuers retrieve last of 6 killed in bridge collapse https://t.co/wZ9zMJ8A6W https://t.co/pVTU4owtHz",56,@CNN
0.0,Sun Mar 18 17:15:10 +0000 2018,0.0,1.0,0.0,President Trump's opioid plan expected to roll out Monday will likely include stiffer penalties for drug trafficker… https://t.co/c2ycz4j4Tb,57,@CNN
-0.2924,Sun Mar 18 17:00:03 +0000 2018,0.103,0.897,0.0,"""We can't in Congress accept that."" Republican Sen. Jeff Flake says he expects pushback from his colleagues over Pr… https://t.co/4TBfVxgYgM",58,@CNN
-0.0516,Sun Mar 18 16:45:03 +0000 2018,0.128,0.752,0.119,"President Trump keeps up attacks on special counsel Robert Mueller, former FBI Deputy Director Andrew McCabe and fo… https://t.co/ZyPF26aNo1",59,@CNN
-0.5574,Sun Mar 18 16:30:10 +0000 2018,0.365,0.635,0.0,Trade fights loom over G20 meeting in Argentina https://t.co/n00SdSi72f https://t.co/n3r9uVuYS2,60,@CNN
-0.4118,Sun Mar 18 16:15:10 +0000 2018,0.155,0.845,0.0,"The Andrew McCabe I knew will move on from this firing, writes James Gagliano for @CNNOpinion… https://t.co/0wvnM4Qxl2",61,@CNN
0.0,Sun Mar 18 16:00:00 +0000 2018,0.0,1.0,0.0,Republican Sen. Rand Paul says he'll take all necessary steps to oppose President Trump's nominees for secretary of… https://t.co/mtuJfWiRD4,62,@CNN
0.0,Sun Mar 18 15:45:11 +0000 2018,0.121,0.759,0.121,"There's trouble in store for President Trump if special counsel Robert Mueller meets porn star Stormy Daniels, writ… https://t.co/Fwz0emU8lA",63,@CNN
0.0,Sun Mar 18 15:30:00 +0000 2018,0.0,1.0,0.0,"""As I said before, if he tried to do that, that would be the beginning of the end of his presidency."" Republican Se… https://t.co/uKzfZr1gbG",64,@CNN
0.7845,Sun Mar 18 15:15:08 +0000 2018,0.0,0.67,0.33,"Former FBI Director James Comey's book is already a best seller, with President Trump's help https://t.co/FT3KulWgrQ https://t.co/FVrKQRBr12",65,@CNN
